#{"t_start": 1789049545.821065, "env_id": "None"}
r,l,t
5.0,41,196.10118
44.0,87,196.253016
307.2,72,196.380844
-21.1,45,196.451745
-59.3,78,196.588327
-57.5,44,196.658329
-69.1,50,196.75104
-5.4,25,196.791397
-22.6,34,196.848123
73.3,75,196.977507
-6.7,48,197.0632
335.2,61,197.167576
292.2,39,197.248909
292.2,71,197.36297
332.2,55,197.474177
-4.3,61,197.573779
31.3,54,197.673471
317.2,57,197.787702
-0.9,51,197.886187
-46.1,37,197.948772
-38.6,41,198.026032
35.4,63,198.148232
293.0,69,200.980081
103.2,80,201.18539
267.3,58,201.293684
287.2,54,201.387573
273.9,55,201.47656
64.4,51,201.561587
36.8,54,201.658972
-100.0,48,201.743017
-24.1,50,201.823948
45.4,62,201.922877
18.3,59,202.02004
-17.7,55,202.111012
26.0,52,202.230598
8.6,39,202.342004
44.5,74,202.533549
258.0,87,202.712894
314.2,55,202.819193
285.9,70,202.940573
55.3,45,203.012064
330.2,54,203.112364
281.6,64,203.215142
